Project,File,CommitHash,Diff,Decision,CommitMessage,Detection,Explanation
spring-boot,9232.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().",Buggy,"The commit message indicates a bug fix related to the `template()` method in GroovyTemplate. It states that the `engine` argument was being ignored in the 3-argument version of the `template()` method.

The provided diff shows a change in the `template()` method where `getTemplate(name)` is replaced with `getTemplate(engine, name)`. This change directly addresses the issue described in the commit message, ensuring that the `engine` argument is now being used when retrieving the template. This correction aligns perfectly with the stated bug fix.

**Buggy**"
spring-boot,9233.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().",Buggy,"Okay, let's analyze this Git diff and commit message to determine if it indicates a bug fix.

**Reasoning:**

1.  **Commit Message:** The commit message ""Fix bug in GroovyTemplate convenience"" clearly states that the commit is intended to fix a bug. Specifically, it mentions that the `engine` argument was being ignored in the 3-argument version of the `template()` method.

2.  **Code Diff:**
    *   The original code snippet initializes a new `GStringTemplateEngine` *inside* the `getTemplate` method. This means that any `TemplateEngine` passed as an argument to the `template()` method (which presumably calls `getTemplate`) would be ignored, as the method would always use a *new* engine.
    *   The modified code snippet removes the initialization of `GStringTemplateEngine` from within the `getTemplate` method. This suggests that the `TemplateEngine` is now expected to be passed *into* the `getTemplate` method, which aligns with the commit message's claim that the `engine` argument was being ignored. The method signature also changed to accept a TemplateEngine.

3.  **Alignment:** The code changes directly address the issue described in the commit message. By removing the local `GStringTemplateEngine` initialization, the code now correctly uses the `engine` argument passed to the method.

**Conclusion:**

The commit message and code diff are consistent and indicate a bug fix. The original code was ignoring the provided `TemplateEngine`, and the modified code now correctly utilizes it.

**Buggy**"
spring-boot,510.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657",Buggy,"Okay, let's analyze this commit.

**Commit Message Analysis:**

The commit message indicates two primary changes:

1.  **Customizable Socket Connect Timeout:** The main reason for the commit is to allow users to configure the socket connect timeout for Couchbase connections. The default timeout was too short, causing failures on Windows builds. The commit introduces a property to adjust this timeout.
2.  **Extensible `CouchbaseConfiguration`:** The commit also addresses the issue that `CouchbaseConfiguration` was not easily extensible, even though it was public. The commit aims to fix this and provides a test case to demonstrate the extensibility.

**Diff Analysis:**

The diff shows a change in the return type of the `couchbaseEnvironment()` method from `CouchbaseEnvironment` to `DefaultCouchbaseEnvironment`. It also replaces `createEnvironment(this.properties)` with `initializeEnvironmentBuilder(this.properties).build()`.

**Reasoning:**

*   The change in return type from `CouchbaseEnvironment` to `DefaultCouchbaseEnvironment` suggests that the implementation is now using a concrete class instead of an interface, possibly to expose more configuration options or to facilitate the customization of the environment.
*   The replacement of `createEnvironment` with `initializeEnvironmentBuilder(...).build()` strongly suggests that the commit is introducing a builder pattern for configuring the Couchbase environment. This is a common pattern for making configuration more flexible and extensible. The builder pattern allows users to customize various aspects of the environment, including the socket connect timeout.
*   The commit message explicitly mentions fixing a problem where `CouchbaseConfiguration` was not easily extensible. The introduction of the builder pattern aligns with this goal, as it allows users to customize the environment configuration by modifying the builder.
*   The commit message also mentions that the Windows build was failing due to a short socket connection timeout. This indicates that the original timeout value was a bug.

**Conclusion:**

The changes in the diff, combined with the commit message, strongly suggest that this commit is addressing a bug related to the default socket connection timeout and the lack of extensibility in `CouchbaseConfiguration`. The introduction of the builder pattern and the change in return type support this conclusion.

**Buggy**
"
spring-boot,516.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657",Buggy,"The commit message indicates that the Windows build is failing because the Couchbase server is not handling socket connections within the default timeout of one second. The commit introduces a property to customize the socket connect timeout and sets it to 10 seconds in the sample. The diff shows the addition of `socketConnectTimeout(timeouts.getSocketConnect())` to the `DefaultCouchbaseEnvironment.Builder`. This change directly addresses the reported issue of the connection timeout being too short, which caused the build to fail. The commit message also mentions that `CouchbaseConfiguration` was not extensible, and this commit fixes that problem. However, the diff only shows changes related to the socket connect timeout.

The addition of `socketConnectTimeout` and the explanation in the commit message strongly suggest that the original timeout value was a bug, as it was causing build failures.

**Buggy**"
spring-boot,6313.json,1a2186e6efed5c53d7c50548de7b30b9a6dcd7f7,"@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}",Buggy,"Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584",Buggy,"Okay, let's analyze the provided Git diff and commit message to determine if it indicates a bug fix.

**Commit Message Analysis:**

The commit message ""Attempt to fix lambda error detection on JDK 9"" strongly suggests a bug fix. It explicitly mentions an attempt to resolve an error related to lambda expressions specifically on JDK 9. The message also indicates that the fix involves detecting `ClassCastException` messages that start with ""module/name"". This implies that the existing error detection mechanism was failing to properly identify `ClassCastException` under certain conditions (likely related to modules in JDK 9). The reference to gh-11584 further supports the presence of a reported issue.

**Code Diff Analysis:**

The code diff modifies the `startsWithArgumentClassName` method. The original code used a lambda expression `startsWith` that directly checked if the message starts with the class name of the `argument`. The modified code replaces this lambda with a call to a method named `startsWithArgumentClassName` and passes both the message and the argument to it.

This change suggests that the original implementation was not robust enough to handle all cases of `ClassCastException` messages, particularly those related to modules in JDK 9. The introduction of a separate `startsWithArgumentClassName` method likely allows for more complex or specific logic to handle these cases.

**Reasoning:**

1.  **Bug Fix Indication:** The commit message explicitly states an attempt to fix an error, which is a strong indicator of a bug fix.
2.  **Error Handling:** The commit message mentions `ClassCastException`, which is a type of error.
3.  **Conditional Logic:** The code change suggests that the original logic was insufficient and needed to be updated to handle specific cases related to JDK 9 and modules. The introduction of a new method implies a more tailored approach to error detection.
4.  **Contextual Information:** The reference to gh-11584 likely provides more context about the specific bug being addressed.

**Conclusion:**

Based on the commit message and code diff, the changes indicate a bug fix. The commit message explicitly mentions an error, and the code modifications suggest an attempt to improve error detection and handling.

**Buggy**
"
spring-boot,2051.json,4b4dc28a869e2f8b988f6ac6ea8a31c274477da5,"@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}",Buggy,"Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691",Buggy,"The commit message indicates a fix for issue gh-16691 and mentions supporting non-standard error codes within `AbstractErrorWebExceptionHandler`. The code diff modifies the `logError` method. Specifically, the condition `response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)` is extended to `HttpStatus.resolve(response.rawStatusCode()) != null && response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)`.

The original code only logged an error if the status code was exactly `HttpStatus.INTERNAL_SERVER_ERROR`. The modified code first checks if the raw status code is a valid HTTP status code using `HttpStatus.resolve(response.rawStatusCode()) != null` before comparing it to `HttpStatus.INTERNAL_SERVER_ERROR`. This change suggests that the original code was not handling non-standard or custom error codes correctly, leading to errors not being logged appropriately. The fix ensures that even if a non-standard error code is used that resolves to a valid HTTP status, the error will be logged, addressing the issue described in the commit message. This indicates a bug fix related to error handling.

**Buggy**"
guava,10860.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796",Buggy,"The commit message ""Fix bug in Optional#presentInstances"" suggests a bug fix related to the `presentInstances` method of the `Optional` class. The diff shows a change within the `iterator()` method, specifically the addition of `private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());`. This line initializes the iterator and also adds a null check using `checkNotNull`.

The original code was likely missing an explicit initialization of the `iterator` field, potentially leading to a `NullPointerException` if `optionals` was null or if the iterator was not properly initialized before being used in the `computeNext()` method. The added `checkNotNull` enforces that the iterator is not null, preventing a potential runtime error. This indicates a bug fix related to handling null iterators.

Therefore, the changes align with the commit message and indicate a bug fix.

**Buggy**"
guava,10861.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796",Buggy,"The commit message indicates a bug fix in `Optional#presentInstances`. The diff moves the initialization of the `iterator` from outside the anonymous `Iterator` class to inside it, making it a field of the anonymous class. This ensures that a new iterator is created each time `iterator()` is called on the `Iterable` returned by `presentInstances`. Without this change, multiple calls to `iterator()` would share the same underlying iterator, potentially leading to unexpected behavior if the first iterator is exhausted. This change directly addresses a bug related to iterator management.

**Buggy**"
guava,14951.json,803f44ac9c6a3457388394e952132fe18449cb9f,"@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }",Buggy,"Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21",Buggy,"The commit message indicates a performance fix in `LinkedHashMultimap.removeAll(key)`. The provided diff shows a change in the `clear()` method.

The original implementation used `linkedEntries.removeAll(createEntries(delegate()))`. The modified implementation iterates through the `delegate` collection and removes each entry individually using `linkedEntries.remove(createEntry(value))`.

The change suggests that the original `removeAll` operation on `linkedEntries` was inefficient, possibly due to the way `createEntries` was implemented or the internal workings of `removeAll`. The new implementation likely improves performance by iterating and removing elements one by one.

The commit message and the code change are related, and the change addresses a performance issue, which can be considered a bug fix.

**Buggy**"
guava,9470.json,2ee7f9da69308c56d5af71267e8b797cedaf31ba,"@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }",Buggy,"AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559",Buggy,"Okay, let's analyze the provided Git diff and commit message to determine if it indicates a bug fix.

**Commit Message Analysis:**

The commit message explicitly states: ""fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph."" This clearly indicates a bug fix related to the `hasEdgeConnecting()` method in the `AbstractNetwork` class. The method was throwing an exception when either of the input nodes (`nodeU`, `nodeV`) was not present in the graph.

**Diff Analysis:**

The diff shows the following changes to the `hasEdgeConnecting()` method:

-   **Original Code:**

    ```java
    public boolean hasEdgeConnecting(N nodeU, N nodeV) {
        return !edgesConnecting(nodeU, nodeV).isEmpty();
    }
    ```

-   **Modified Code:**

    ```java
    public boolean hasEdgeConnecting(N nodeU, N nodeV) {
        checkNotNull(nodeU);
        checkNotNull(nodeV);
        return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
    }
    ```

The changes introduce the following:

1.  `checkNotNull(nodeU);` and `checkNotNull(nodeV);`: These lines add null checks for the input nodes `nodeU` and `nodeV`. This is a defensive programming practice to prevent `NullPointerException`s.  However, the original bug report indicates the issue was that the method threw an exception if the nodes were *not in the graph*, not if they were null.
2.  `return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);`: This line replaces the original logic. The original logic checked if there were any edges connecting the two nodes by calling `edgesConnecting(nodeU, nodeV)` and checking if the result was empty. The new logic first checks if `nodeU` is in the graph using `nodes().contains(nodeU)` and then checks if `nodeV` is a successor of `nodeU` using `successors(nodeU).contains(nodeV)`.

**Reasoning:**

The original code likely threw an exception because `edgesConnecting(nodeU, nodeV)` probably tried to access the nodes in the graph without first verifying their existence. If either `nodeU` or `nodeV` was not in the graph, this could lead to a `NoSuchElementException` or similar exception within the `edgesConnecting` method.

The modified code addresses this by explicitly checking if `nodeU` exists in the graph using `nodes().contains(nodeU)` before proceeding. This prevents the potential exception that could occur when trying to access a non-existent node. The change in logic from `edgesConnecting` to `successors` also indicates a change in how the existence of an edge is determined, likely to avoid the exception.

The commit message aligns perfectly with the code changes. The code was modified to prevent an exception when either endpoint was not in the graph.

**Conclusion:**

**Buggy**
"
