Project,File,CommitHash,Diff,Decision,CommitMessage,Detection,Explanation
spring-boot,9232.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,7 +1,7 @@
 	public static String template(TemplateEngine engine, String name, Map<String, ?> model)
 			throws IOException, CompilationFailedException, ClassNotFoundException {
-		Writable writable = getTemplate(name).make(model);
+		Writable writable = getTemplate(engine, name).make(model);
 		StringWriter result = new StringWriter();
 		writable.writeTo(result);
 		return result.toString();
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().",Buggy,"The code change specifically addresses an issue mentioned in the commit message. The method template was previously ignoring the engine argument; instead of using a default engine or incorrect method, it now uses getTemplate with the engine parameter, aligning it with the commit message's description of the bug.

This change suggests a logical correction in the handling of the parameters, confirming an oversight or bug was present and is now fixed. Therefore, the modifications in the diff are consistent with a bug fix as described in the commit message.

Therefore, the assessment for this change is **Buggy**."
spring-boot,9233.json,ed15f742fd4eacc14b06908112ac4ca6ae4c0f90,"@@ -1,17 +1,16 @@
-	private static Template getTemplate(String name) throws CompilationFailedException,
+	private static Template getTemplate(TemplateEngine engine, String name) throws CompilationFailedException,
 			ClassNotFoundException, IOException {
-		GStringTemplateEngine engine = new GStringTemplateEngine();
 
 		File file = new File(""templates"", name);
 		if (file.exists()) {
 			return engine.createTemplate(file);
 		}
 
 		ClassLoader classLoader = GroovyTemplate.class.getClassLoader();
 		URL resource = classLoader.getResource(""templates/"" + name);
 		if (resource != null) {
 			return engine.createTemplate(resource);
 		}
 
 		return engine.createTemplate(name);
 	}",Buggy,"Fix bug in GroovyTemplate convenience

It was ignoring the engine argument in the 3 arg version
of template().",Buggy,"The commit message indicates a fix to address ignoring the engine argument in a specific method version. The diff modifies getTemplate to accept a TemplateEngine argument, replacing the hardcoded use of GStringTemplateEngine. This aligns changes with the message, ensuring the passed engine is used. The answer is **Buggy**."
spring-boot,510.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,3 +1,3 @@
-		public CouchbaseEnvironment couchbaseEnvironment() throws Exception {
-			return createEnvironment(this.properties);
+		public DefaultCouchbaseEnvironment couchbaseEnvironment() throws Exception {
+			return initializeEnvironmentBuilder(this.properties).build();
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657",NotBuggy,"The provided diff makes changes to the `couchbaseEnvironment` method by replacing the call to `createEnvironment` with `initializeEnvironmentBuilder` followed by `.build()`. This implies that the method now returns a `DefaultCouchbaseEnvironment` instead of whatever type `createEnvironment` was initially returning. 

This change aligns with the commit message, which mentions making the socket connect timeout configurable. Although the method name `initializeEnvironmentBuilder` suggests steps consistent with setting up an environment where configurations like timeouts could be applied, the diff itself doesn't explicitly show changes related to socket timeout customization.

However, the commit message also mentions another issue: the inability to easily extend `CouchbaseConfiguration` for customization. This change may address that, as the diff suggests the setup of a builder pattern, which typically makes customization or extension more flexible.

The actual socket timeout customization indicated in the commit message appears to be part of a broader set of changes not shown in this diff. The diff seems to facilitate more flexible configurations, which is consistent with the commit narrative, possibly making it easier for developers to extend and modify settings like timeouts.

Since the core focus of the diff seems to resolve issues related to configurability rather than a direct bug (unless extending the configuration itself was considered a bug), the specific code changes shown here are more about enhancing functionality rather than fixing bugs in existing logic.

Therefore, assessing the reformulation of configurability, I conclude with **NotBuggy** for this specific code snippet, as there is no direct indication of addressing erroneous logic or execution faults in the diff itself."
spring-boot,516.json,99ae6dac5321a741d93ff5187fafb94c295a6928,"@@ -1,22 +1,23 @@
-		protected CouchbaseEnvironment createEnvironment(CouchbaseProperties properties) {
+		protected DefaultCouchbaseEnvironment.Builder initializeEnvironmentBuilder(CouchbaseProperties properties) {
 			CouchbaseProperties.Endpoints endpoints = properties.getEnv().getEndpoints();
 			CouchbaseProperties.Timeouts timeouts = properties.getEnv().getTimeouts();
 			DefaultCouchbaseEnvironment.Builder builder = DefaultCouchbaseEnvironment
 					.builder().connectTimeout(timeouts.getConnect())
 					.kvEndpoints(endpoints.getKeyValue())
 					.kvTimeout(timeouts.getKeyValue())
 					.queryEndpoints(endpoints.getQuery())
 					.queryTimeout(timeouts.getQuery()).viewEndpoints(endpoints.getView())
+					.socketConnectTimeout(timeouts.getSocketConnect())
 					.viewTimeout(timeouts.getView());
 			CouchbaseProperties.Ssl ssl = properties.getEnv().getSsl();
 			if (ssl.getEnabled()) {
 				builder.sslEnabled(true);
 				if (ssl.getKeyStore() != null) {
 					builder.sslKeystoreFile(ssl.getKeyStore());
 				}
 				if (ssl.getKeyStorePassword() != null) {
 					builder.sslKeystorePassword(ssl.getKeyStorePassword());
 				}
 			}
-			return builder.build();
+			return builder;
 		}",Buggy,"Customize Couchbase's socket connect timeout

Our Windows build is failing currently because the couchbase server does
not handle a socket connection within a second (the default). This commit
adds a property to customize this option and set it to 10 sec in the
sample.

While investigating this issue, it turns out that while
`CouchbaseConfiguration` is public, it is not really possible to extend
it in user's configuration. This commit fixes this problem and add a test
that demonstrates how it can be used.

Closes gh-5657",NotBuggy,"The commit message describes customizing the socket connect timeout for Couchbase and fixing an extendability issue with `CouchbaseConfiguration`. 

The code diff shows modifications to add a `.socketConnectTimeout()` method call to configure the socket connect timeout based on provided properties. This aligns with customizing the socket connect timeout as mentioned in the commit message. 

Additionally, the method has been renamed from `createEnvironment` to `initializeEnvironmentBuilder` and now returns a `DefaultCouchbaseEnvironment.Builder` instead of a fully built environment object. This change can make it easier for users to extend and further customize the builder configuration, which addresses the issue of extendability as mentioned in the commit.

While the commit message describes a functional improvement and customizability enhancement, there is no indication that the actual adjustments address a specific bug unrelated to functionality or extendability. The extensions and configurations in this commit are intended to allow users more flexibility and are not directly fixing an error in behavior.

Overall, the changes align with the commit message, and though they improve functionality and enhance customizability, they do not necessarily indicate a bug fix as per the typical definition (i.e., correcting erroneous behavior).

Concluding, the analysis of code changes, messaging, and the purpose indicates that the source code modification does not primarily focus on resolving an error but is more about providing enhancements and flexibility. Thus, the conclusion for this commit is **NotBuggy**."
spring-boot,6313.json,1a2186e6efed5c53d7c50548de7b30b9a6dcd7f7,"@@ -1,6 +1,6 @@
 		private boolean startsWithArgumentClassName(String message) {
-			Predicate<Object> startsWith = (argument) -> argument != null
-					&& message.startsWith(argument.getClass().getName());
+			Predicate<Object> startsWith = (argument) -> startsWithArgumentClassName(
+					message, argument);
 			return startsWith.test(this.argument)
 					|| Stream.of(this.additionalArguments).anyMatch(startsWith);
 		}",Buggy,"Attempt to fix lambda error detection on JDK 9

Update `LambdaSafe` to also detect `ClassCastException` messages that
start with ""module/name"".

See gh-11584",Buggy,"The commit message indicates that the change aims to improve the detection of `ClassCastException` messages, particularly for lambda errors, by considering messages that start with ""module/name"". 

In the diff provided, the logic for checking whether a message starts with a class name has been refactored. Originally, the predicate `startsWith` checked if `message` starts with the class name of an `argument`, performed directly within the lambda expression. Now, `startsWith` uses a method `startsWithArgumentClassName(message, argument)`. Although the content of `startsWithArgumentClassName(message, argument)` is not shown, the change suggests improved modularity and possibly the handling of edge cases.

However, from this diff alone, we cannot conclusively infer whether it addresses the specific issue related to JDK 9 and messages starting with ""module/name"" unless we see the implementation of `startsWithArgumentClassName(message, argument)`.

Despite this, the change likely involves a bug fix attempt because:
- The commit message specifies an ""attempt to fix"" an error detection.
- JDK-specific issues (such as those arising from system changes in JDK 9) often involve nuanced handling and can cause defects in code execution paths if not properly addressed.

Given these elements, these changes suggest an attempt to address a specific bug related to error detection in certain environments.

In conclusion, the effort to modify behavior and attempt to fix a known issue aligns with the nature of a bug fix, and therefore, this change is **Buggy**."
spring-boot,2051.json,4b4dc28a869e2f8b988f6ac6ea8a31c274477da5,"@@ -1,9 +1,10 @@
 	private void logError(ServerRequest request, ServerResponse response, Throwable throwable) {
 		if (logger.isDebugEnabled()) {
 			logger.debug(request.exchange().getLogPrefix() + formatError(throwable, request));
 		}
-		if (response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
+		if (HttpStatus.resolve(response.rawStatusCode()) != null
+				&& response.statusCode().equals(HttpStatus.INTERNAL_SERVER_ERROR)) {
 			logger.error(request.exchange().getLogPrefix() + ""500 Server Error for "" + formatRequest(request),
 					throwable);
 		}
 	}",Buggy,"Support non-standard error codes with AbstractErrorWebExceptionHandler

Fixes gh-16691",Buggy,"The commit message indicates support for non-standard error codes. In the code, the status code comparison changed. It now checks if the raw status code can be resolved into a standard HttpStatus before comparing against INTERNAL_SERVER_ERROR. This prevents log errors for unknown status codes, avoiding potential misclassification of errors. The answer is **Buggy**."
guava,10860.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,13 +1,15 @@
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796",Buggy,"The commit message indicates a bug fix in the `Optional#presentInstances` method, and the diff shows changes within an anonymous iterator class used in the method. Here's the step-by-step analysis:

1. **Introduction of Field**: A new private field `iterator` is added to store the iterator obtained from the `optionals` list, ensuring it's not null by using `checkNotNull()`. 

2. **Correctness and Null Check**: `checkNotNull` hints at a possible bug fix regarding nullability scenarios that weren't previously handled. By ensuring that the iterator is checked for null, the risk of encountering a `NullPointerException` during iteration is mitigated.

3. **Functionality**: The `computeNext()` method iterates over `Optional` instances. If an `Optional` is present, it returns the contained value; otherwise, it continues.

4. **Bug Relation**: Before the change, the iterator may not have been explicitly checked for null, and this could lead to runtime exceptions if `optionals.iterator()` returned null. By expressly adding the check and using a local iterator field, the method ensures safe iteration over the optionals.

Thus, the modifications in this commit are directly aligned with the commit message indicating a bug fix. The main change ensures robust handling of potential null scenarios during iteration, which is quintessential for addressing bugs.

Conclusively, these changes indicate a bug fix, and therefore the conclusion is **Buggy**."
guava,10861.json,81f0a77431bf90bf02543b999577400c7c13aa13,"@@ -1,19 +1,20 @@
-  public static <T> Iterable<T> presentInstances(Iterable<Optional<T>> optionals) {
+  public static <T> Iterable<T> presentInstances(final Iterable<Optional<T>> optionals) {
     checkNotNull(optionals);
-    final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
     return new Iterable<T>() {
       @Override public Iterator<T> iterator() {
         return new AbstractIterator<T>() {
+          private final Iterator<Optional<T>> iterator = checkNotNull(optionals.iterator());
+
           @Override protected T computeNext() {
             while (iterator.hasNext()) {
               Optional<T> optional = iterator.next();
               if (optional.isPresent()) {
                 return optional.get();
               }
             }
             return endOfData();
           }
         };
       };
     };
   }",Buggy,"Fix bug in Optional#presentInstances.
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=26472796",Buggy,"The commit message mentions a bug fix in `Optional#presentInstances`. The code change relocates the instantiation of the iterator from before the return of the `Iterable<T>` to within the `AbstractIterator<T>` constructor. This modification potentially addresses a bug where successive calls to the `iterator` method on an `Iterable` could return an exhausted iterator rather than a fresh one, leading to incorrect behavior after the first iteration.

By moving the iterator instantiation into the `iterator` method, each call gets a fresh iterator, which is the expected behavior for an `Iterable`. This change aligns with the nature of fixing a bug in the `presentInstances` method.

Thus, the modifications indicate the fixing of a bug in handling iterators properly. The conclusion is **Buggy**."
guava,14951.json,803f44ac9c6a3457388394e952132fe18449cb9f,"@@ -1,4 +1,6 @@
     @Override public void clear() {
-      linkedEntries.removeAll(createEntries(delegate()));
+      for (V value : delegate) {
+        linkedEntries.remove(createEntry(value));
+      }
       delegate.clear();
     }",Buggy,"Fix performance problem in LinkedHashMultimap.removeAll(key), as documented in http://code.google.com/p/guava-libraries/issues/detail?id=371&start=100

R=kak
DELTA=3  (2 added, 0 deleted, 1 changed)


Revision created by MOE tool push_codebase.
MOE_MIGRATION=177089


git-svn-id: https://guava-libraries.googlecode.com/svn/trunk@93 8138a162-5c33-11de-8abc-d1c337b90d21",NotBuggy,"The commit message states a performance problem in `LinkedHashMultimap.removeAll(key)`. The change modifies the `clear` method, improving removal efficiency by iterating over the delegate and removing each entry individually from `linkedEntries`, rather than attempting to remove all at once. This suggests a performance optimization rather than a bug fix, resolving a potentially inefficient operation. Since the purpose is performance improvement and not correcting incorrect behavior, the conclusion is **NotBuggy**."
guava,9470.json,2ee7f9da69308c56d5af71267e8b797cedaf31ba,"@@ -1,3 +1,5 @@
   public boolean hasEdgeConnecting(N nodeU, N nodeV) {
-    return !edgesConnecting(nodeU, nodeV).isEmpty();
+    checkNotNull(nodeU);
+    checkNotNull(nodeV);
+    return nodes().contains(nodeU) && successors(nodeU).contains(nodeV);
   }",Buggy,"AbstractNetwork: fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.

RELNOTES=Fix bug in AbstractNetwork.hasEdgeConnecting() causing it to throw if either endpoint was not in the graph.  Originally reported as GitHub issue #3721.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=282846559",Buggy,"The diff indicates a change in the method `hasEdgeConnecting` to fix a bug. Previously, it relied on `edgesConnecting(nodeU, nodeV).isEmpty()` which could throw an exception if either `nodeU` or `nodeV` was not part of the graph. The revised implementation includes two checks using `checkNotNull` to ensure that `nodeU` and `nodeV` are not null, which can prevent NullPointerExceptions. Moreover, it adds logic to check if `nodeU` is part of the graph using `nodes().contains(nodeU)` and if there is a direct connection from `nodeU` to `nodeV` using `successors(nodeU).contains(nodeV)`. 

This change directly addresses the problem mentioned in the commit message: it prevents the method from throwing exceptions if the nodes are not present in the graph. Since the modifications include error-handling improvements and logical corrections to prevent exceptions, they align well with the described bug fix.

Therefore, the evaluation of the changes indicates that the commit fixes a bug as described. The conclusion is **Buggy**."
