Age,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,NewAdditions,DiffSizes,EditDistances,CriticalEditDistances,TangledWMoveandFileRename,Buggycommiit,PotentiallyBuggycommit,RiskyCommit,file,Decision,Detection,result
3057,12#13#12#10#11#11,0.10044190287590027#0.0622343085706234#0.029675520956516266#0.03216823562979698#0.025320081040263176#0.025320081040263176,0.25359866555833205#4.657463311452126E-4#6.646401098285949E-4#2.8353147455414425E-4#2.1192991859613205E-4#2.1192991859613205E-4,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,3#2#2#2#2#2,3.77#3.08#3.04#2.99#2.86#2.86,2#1#1#1#1#1,5#9#8#8#9#9,57.0#95.0#87.0#87.0#91.0#91.0,100.75931549072266#96.54579162597656#98.36824798583984#101.32185363769531#99.54408264160156#99.54408264160156,0#0#0#0#0#0,0#0#0#0#0#0,3#3#3#3#3#3,0#1#4#233#1764#2384,0#10#7#0#2#0,0#16#17#0#3#0,0#320#168#12#36#0,0#302#150#0#32#0,0#3#3#2#93#39,0#0#0#0#0#0,0#0#0#0#0#0,0#1#0#0#0#0,922.json,NotBuggy,NotBuggy,
3242,3#3#3#3,0.4178309440612793#0.8476499319076538#0.8476499319076538#0.8476499319076538,0.7698188966494155#0.9151106614805777#0.9151106614805777#0.9151106614805777,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,1.89#1.89#1.89#1.89,0#0#0#0,2#1#1#1,21.0#15.0#15.0#15.0,129.93223571777344#132.086669921875#132.086669921875#132.086669921875,0#0#0#0,0#0#0#0,0#0#0#0,0#164#2865#2865,0#1#0#0,0#2#0#0,0#14#0#0,0#14#0#0,0#2#0#0,0#0#0#0,0#0#0#0,0#0#0#0,260.json,NotBuggy,NotBuggy,
2281,4#4#4#4,0.8583095669746399#0.8583095669746399#0.8583095669746399#0.8583095669746399,0.7844462488744901#0.7844462488744901#0.7844462488744901#0.7844462488744901,0#0#0#0,0#0#0#0,0#0#0#0,1#1#1#1,2.0#2.0#2.0#2.0,0#0#0#0,1#1#1#1,21.0#21.0#21.0#21.0,125.15930938720703#125.15930938720703#125.15930938720703#125.15930938720703,0#0#0#0,0#0#0#0,0#0#0#0,0#1608#1618#1905,0#0#0#0,0#0#0#0,0#0#0#0,0#0#0#0,0#0#2#0,0#0#0#0,0#0#0#0,0#0#0#0,26.json,NotBuggy,NotBuggy,
760,5#5#5#5#5#5,0.014323589392006397#0.014323589392006397#0.015009928494691849#0.015009928494691849#0.015009928494691849#0.015009928494691849,0.07962232702435726#0.07962232702435726#0.06311518330511974#0.06311518330511974#0.06311518330511974#0.06311518330511974,2#2#2#2#2#2,1#1#1#1#1#1,3#3#3#3#3#3,2#2#2#2#2#2,2.99#2.99#2.99#2.99#2.99#2.99,1#1#1#1#1#1,3#3#3#3#3#3,44.0#44.0#45.0#45.0#45.0#45.0,116.80448913574219#116.80448913574219#116.62464904785156#116.62464904785156#116.62464904785156#116.62464904785156,0#0#0#0#0#0,2#2#2#2#2#2,0#0#0#0#0#0,0#31#83#87#88#387,0#0#1#0#0#0,0#0#2#0#0#0,0#0#6#0#0#0,0#0#6#0#0#0,0#43#17#39#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,839.json,NotBuggy,NotBuggy,
2415,3#3#3#3#3,0.8027470111846924#0.780166506767273#0.780166506767273#0.7925207018852234#0.7033316493034363,0.9542963651582133#0.9686498172667681#0.9686498172667681#0.9817128245044874#0.9553936144118548,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,1.89#1.89#1.89#1.89#1.89,0#0#0#0#0,0#0#0#0#0,12.0#11.0#11.0#11.0#12.0,133.59722900390625#134.26058959960938#134.26058959960938#134.26058959960938#133.59722900390625,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#1640#1742#1755#2065,0#1#0#3#3,0#2#0#6#6,0#7#0#12#21,0#7#0#0#14,0#3#5#7#26,0#0#0#0#0,0#1#0#0#0,0#1#0#0#0,469.json,NotBuggy,NotBuggy,
1134,3#3#3#3#3#3#3,0.9748580455780029#0.9748580455780029#0.9748580455780029#0.9748580455780029#0.9748580455780029#0.9762963652610779#0.971647322177887,0.7890537369290104#0.7890537369290104#0.7890537369290104#0.7890537369290104#0.7890537369290104#0.7841134013250705#0.8002273120073554,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,1.89#1.89#1.89#1.89#1.89#1.89#1.89,0#0#0#0#0#0#0,0#0#0#0#0#0#0,19.0#19.0#19.0#19.0#19.0#19.0#19.0,130.45266723632812#130.45266723632812#130.45266723632812#130.45266723632812#130.45266723632812#130.45266723632812#130.45266723632812,0#0#0#0#0#0#0,1#1#1#1#1#1#1,0#0#0#0#0#0#0,0#461#470#750#750#812#930,0#0#0#0#0#1#1,0#0#0#0#0#2#2,0#0#0#0#0#6#8,0#0#0#0#0#6#8,0#0#3#0#5#24#66,0#0#0#0#0#0#0,0#0#0#0#0#0#1,0#0#0#0#0#0#0,129.json,NotBuggy,NotBuggy,
1293,6#6#6#6,0.03903110697865486#0.03903110697865486#0.040118198841810226#0.040118198841810226,0.015596241368304441#0.015596241368304441#0.015784168070983245#0.015784168070983245,1#1#1#1,1#1#1#1,2#2#2#2,2#2#2#2,2.75#2.75#2.75#2.75,1#1#1#1,4#4#4#4,55.0#55.0#55.0#55.0,112.56766510009766#112.56766510009766#112.56766510009766#112.56766510009766,0#0#0#0,1#1#1#1,0#0#0#0,0#620#1186#1208,0#0#0#0,0#0#0#0,0#0#1#0,0#0#0#0,0#39#43#1,0#0#0#0,0#0#0#0,0#0#0#0,908.json,NotBuggy,NotBuggy,
1521,15#15#17#19#20#16#16#16,0.006944682449102402#0.0070764534175395966#9.638902847655118E-4#1.2130815593991429E-4#1.357795699732378E-4#0.007903384044766426#0.007903384044766426#0.1440473049879074,1.7633992762906164E-6#4.777452156043141E-7#3.4279992018208424E-9#7.192968589383695E-13#6.068334379922747E-13#7.527321309797256E-7#7.527321309797256E-7#0.0037625128698535117,6#7#9#9#9#7#7#4,7#7#9#9#9#7#7#4,13#14#18#18#18#14#14#8,5#5#6#6#6#5#5#5,3.99#3.99#3.88#5.2#5.1#4.0#4.0#3.67,4#4#5#5#5#4#4#2,13#13#16#16#17#14#14#6,126.0#130.0#159.0#191.0#194.0#131.0#131.0#95.0,92.17318725585938#91.8739013671875#88.47672271728516#85.2341537475586#84.32215881347656#90.8211669921875#90.8211669921875#92.75208282470703,0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1,1#1#1#1#1#1#1#3,0#81#387#403#539#696#1137#1143,0#1#3#3#1#0#0#16,0#2#4#4#1#4#0#29,0#3#163#255#32#417#0#523,0#3#156#207#28#361#0#515,0#3#26#9#3#3#5#82,0#1#0#0#0#0#0#0,0#1#0#0#0#0#0#0,0#1#1#0#0#0#0#0,84.json,Buggy,Buggy,Buggy
1293,9#9#9#9#9#9#9,0.0#0.0#0.0#0.0#0.0#0.0#0.0,8.222315341414873E-4#8.197540795335565E-4#8.197540795335565E-4#3.301117023174773E-4#3.301117023174773E-4#3.301117023174773E-4#5.605285017052109E-4,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,1.66#1.66#1.66#1.66#1.66#1.66#1.66,0#0#0#0#0#0#0,7#7#7#8#8#8#7,81.0#81.0#81.0#89.0#89.0#89.0#88.0,104.15906524658203#104.15906524658203#104.15906524658203#103.8492202758789#103.8492202758789#103.8492202758789#104.04444885253906,0#0#0#0#0#0#0,1#1#1#1#1#1#1,0#0#0#0#0#0#0,0#16#620#959#1186#1208#1221,0#2#0#7#0#0#1,0#4#0#14#0#0#2,0#2#0#132#0#0#11,0#2#0#132#0#0#11,0#16#39#17#43#1#40,0#0#0#0#0#0#0,0#0#0#1#0#0#1,0#0#0#1#0#0#1,898.json,NotBuggy,NotBuggy,
1293,9#9#10,0.8180657029151917#0.8180657029151917#0.9173548221588135,0.4811525168095505#0.4811525168095505#0.6575451622336219,1#1#1,1#1#1,2#2#2,3#3#3,2.95#2.95#2.8,1#1#1,1#1#1,44.0#44.0#45.0,107.05233764648438#107.05233764648438#105.22864532470703,0#0#0,0#0#0,0#0#0,0#621#1231,0#0#4,0#0#6,0#0#14,0#0#8,0#0#1,0#0#0,0#0#0,0#0#0,1075.json,NotBuggy,NotBuggy,
