Age,SLOCStandard,Readability,SimpleReadability,NVAR,NCOMP,Mcclure,McCabe,IndentSTD,MaximumBlockDepth,totalFanOut,Length,MaintainabilityIndex,SATD,Parameters,LocalVariables,ChangeAtMethodAge,NewAdditions,DiffSizes,EditDistances,CriticalEditDistances,TangledWMoveandFileRename,Buggycommiit,PotentiallyBuggycommit,RiskyCommit,file,Decision,Detection,result
1315,2#7#7#7#7#3#3#3#6#5#5#5,0.996537983417511#0.7246336936950684#0.7345274090766907#0.7345274090766907#0.7319840788841248#0.721794605255127#0.9381222724914551#0.9641391038894653#0.0904945656657219#0.3460390269756317#0.3460390269756317#0.3460390269756317,0.8763788996345461#0.5808399135214978#0.5605728816909975#0.5605728816909975#0.7971312353811092#0.9457219126329625#0.930377117318265#0.9795900914097948#0.45056334675779974#0.7200579032668059#0.7200579032668059#0.7200579032668059,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0,1#2#2#2#2#1#1#1#1#1#1#1,3.77#6.05#6.05#6.05#3.02#1.89#1.89#1.89#1.89#1.96#1.96#1.96,0#1#1#1#1#0#0#0#0#0#0#0,0#1#1#1#1#1#0#0#3#2#2#2,11.0#31.0#31.0#31.0#31.0#16.0#15.0#13.0#36.0#28.0#28.0#28.0,140.82913208007812#113.63807678222656#113.54827117919922#113.54827117919922#113.54827117919922#131.75106811523438#131.9385528564453#132.9956512451172#115.33509063720703#119.67438507080078#119.67438507080078#119.67438507080078,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#0#0#0#0,0#10#125#165#252#314#409#525#662#662#714#719,0#5#2#0#7#3#3#1#3#1#0#0,0#6#4#0#14#10#6#2#3#3#0#0,0#85#12#0#56#107#25#24#159#65#0#0,0#112#12#0#0#99#14#24#135#57#0#0,0#5#78#124#126#7#13#77#7#7#3#0,0#0#0#0#0#0#0#0#0#0#0#0,0#0#0#0#0#0#0#0#1#1#0#0,0#0#0#0#0#0#0#0#1#1#0#0,104.json,NotBuggy,NotBuggy,
1360,3#3#3#3#3#3,0.9235057830810547#0.9235057830810547#0.9235057830810547#0.6911425590515137#0.8051077127456665#0.8051077127456665,0.9082679409010616#0.9082679409010616#0.9082679409010616#0.9616244031305391#0.9623116339658864#0.9623116339658864,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,1#1#1#1#1#1,3.77#3.77#3.77#1.89#1.89#1.89,0#0#0#0#0#0,0#0#0#0#0#0,12.0#12.0#12.0#12.0#12.0#12.0,133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625#133.59722900390625,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,0#40#56#297#344#948,0#0#0#3#1#0,0#0#0#6#2#0,0#0#0#25#10#0,0#0#0#9#10#0,0#24#4#126#344#91,0#0#0#0#0#0,0#0#0#0#0#0,0#0#0#0#0#0,2810.json,NotBuggy,NotBuggy,
1360,1#3#3#3#3,0.9880495071411133#0.9700493812561035#0.9700493812561035#0.9676591753959656#0.9676591753959656,0.8055316941025739#0.9862614833288892#0.9862614833288892#0.992231209476453#0.992231209476453,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,1#1#1#1#1,0.0#1.89#1.89#1.89#1.89,0#0#0#0#0,0#0#0#0#0,13.0#13.0#13.0#12.0#12.0,150.7931671142578#132.9956512451172#132.9956512451172#133.59722900390625#133.59722900390625,0#0#0#0#0,0#0#0#0#0,0#0#0#0#0,0#297#705#714#722,0#3#1#2#1,0#4#2#4#2,0#41#1#8#1,0#0#1#8#1,0#126#99#392#204,0#0#0#0#0,0#0#1#0#0,0#0#1#0#0,2294.json,NotBuggy,NotBuggy,
1360,6#6#6#6#7#7#8#8#8,0.4365294575691223#0.4138583838939667#0.39854103326797485#0.41664159297943115#0.21269264817237854#0.2420429140329361#0.7670871019363403#0.7390732169151306#0.742476224899292,0.03567614385526643#0.035154495895275376#0.0374055712006878#0.06204670819477463#0.02530646059141014#0.009174313383374974#0.09952969416012752#0.09674462788866803#0.0990785177192118,1#1#1#1#2#2#2#2#2,2#2#2#2#3#3#3#3#3,3#3#3#3#5#5#5#5#5,3#3#3#3#4#4#3#3#3,3.77#3.77#3.77#1.89#1.81#1.81#2.83#2.83#2.83,0#0#0#0#0#0#0#0#0,1#1#1#1#3#3#3#3#3,48.0#48.0#48.0#48.0#58.0#62.0#55.0#55.0#55.0,112.93401336669922#112.93401336669922#112.93401336669922#112.93401336669922#109.3342514038086#108.87591552734375#107.565673828125#107.565673828125#107.565673828125,0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1,1#1#1#1#1#1#1#1#1,0#65#76#297#344#517#591#795#850,0#2#1#6#6#2#7#1#1,0#4#2#12#11#4#11#2#2,0#30#5#43#123#69#66#10#14,0#30#5#0#127#71#40#10#14,0#125#26#126#344#218#20#122#26,0#0#0#0#0#0#0#0#0,0#1#0#0#0#0#0#0#0,0#1#0#0#0#0#0#0#0,3173.json,NotBuggy,NotBuggy,
1253,17#17#16#16#16#16#16#16#16,0.01930048316717148#0.017814304679632187#0.025188704952597618#0.025188704952597618#0.025507984682917595#0.02614542655646801#0.026295511052012444#0.026295511052012444#0.02941557578742504,1.7106280656011627E-7#9.545886506177342E-8#9.223209412194013E-7#9.223209412194013E-7#1.4085398600752257E-6#1.4203096938443564E-6#1.4682187285285983E-6#1.4682187285285983E-6#1.4276119464530949E-6,2#2#2#2#2#2#2#2#2,1#1#1#1#1#1#1#1#1,3#3#3#3#3#3#3#3#3,3#3#3#3#3#3#3#3#3,4.94#4.94#5.07#5.07#2.54#2.54#2.54#2.54#2.54,1#1#1#1#1#1#1#1#1,5#5#4#4#4#4#4#4#4,128.0#130.0#120.0#120.0#120.0#120.0#120.0#120.0#120.0,90.10555267333984#89.97663879394531#91.50015258789062#91.50015258789062#91.50015258789062#91.50015258789062#91.50015258789062#91.50015258789062#91.50015258789062,0#0#0#0#0#0#0#0#0,1#1#1#1#1#1#1#1#1,7#7#6#6#6#6#6#6#6,0#63#99#103#190#538#610#673#738,0#2#4#0#16#1#1#17#2,0#4#9#0#32#2#2#17#4,0#32#143#0#80#11#12#0#14,0#31#142#0#0#11#12#0#14,0#78#109#124#126#2#3#42#367,0#0#0#0#0#0#0#0#1,0#0#0#0#0#1#0#0#1,0#0#0#0#0#1#0#0#1,5277.json,Buggy,Buggy,Buggy
1188,5#5#5#5,0.7601523995399475#0.7601523995399475#0.7573756575584412#0.7573756575584412,0.8240151323775787#0.8240151323775787#0.950334501677213#0.950334501677213,1#1#1#1,1#1#1#1,2#2#2#2,2#2#2#2,5.99#5.99#2.99#2.99,0#0#0#0,1#1#1#1,24.0#24.0#24.0#24.0,120.6200180053711#120.6200180053711#120.6200180053711#120.6200180053711,0#0#0#0,0#0#0#0,0#0#0#0,0#34#125#313,0#0#5#0,0#0#10#0,0#0#56#0,0#0#0#0,0#109#126#0,0#0#0#0,0#0#0#0,0#0#0#0,922.json,NotBuggy,NotBuggy,
855,19#3,0.006082402542233467#0.3177522122859955,2.4671561894288697E-7#0.7953516878721761,0#0,0#0,0#0,4#1,4.28#1.89,1#0,7#1,141.0#19.0,87.6475830078125#130.45266723632812,0#0,1#1,5#0,0#103,0#1,0#20,0#1240,0#1034,0#3,0#0,0#0,0#0,274.json,NotBuggy,NotBuggy,
761,4#4#4#4#4#4#4,0.5584523677825928#0.5446443557739258#0.7025868892669678#0.6977521777153015#0.7025868892669678#0.7001942992210388#0.7144946455955505,0.1202915961844672#0.6457857022275669#0.46754057104849595#0.47659191083856134#0.45439986672922855#0.46152079981429145#0.4407205720133008,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,1#1#1#1#1#1#1,4.9#2.0#2.0#2.0#2.0#2.0#2.0,0#0#0#0#0#0#0,4#2#2#2#2#2#2,42.0#28.0#30.0#30.0#30.0#30.0#30.0,120.95767974853516#123.55950164794922#122.85169219970703#122.85169219970703#122.85169219970703#122.85169219970703#122.85169219970703,0#0#0#0#0#0#0,1#1#1#1#1#1#1,0#0#1#1#1#1#1,0#115#123#174#193#357#366,0#4#3#1#1#1#1,0#8#6#2#2#2#2,0#176#127#4#5#10#6,0#155#128#4#5#10#6,0#392#204#32#227#227#35,0#0#0#0#0#0#0,0#0#0#0#0#0#0,0#0#0#0#0#0#0,3599.json,NotBuggy,NotBuggy,
791,7,0.309130996465683,0.01446672556388324,2,3,5,4,1.81,0,3,62.0,108.87591552734375,0,1,1,0,0,0,0,0,0,0,0,0,2930.json,NotBuggy,NotBuggy,
1016,3#3,0.8175028562545776#0.8154435157775879,0.7971853115227512#0.8084102299457544,0#0,0#0,0#0,1#1,1.89#1.89,0#0,1#1,21.0#21.0,130.05470275878906#130.05470275878906,0#0,0#0,0#0,0#172,0#1,0#2,0#9,0#9,0#218,0#0,0#0,0#0,3191.json,NotBuggy,NotBuggy,
