Project,File,HistoryIndex,FileChangeCount
spring-boot,9233.json,1,2
spring-boot,510.json,2,4
spring-boot,6313.json,0,2
spring-boot,2033.json,0,4
spring-boot,9232.json,1,2
guava,10860.json,1,2
guava,14951.json,2,2
guava,9471.json,0,4
guava,18902.json,3,2
guava,12172.json,0,5
guava,12247.json,0,2
guava,12154.json,0,5
guava,1857.json,0,4
guava,22245.json,2,2
guava,12171.json,1,5
guava,11944.json,0,2
guava,15642.json,1,4
guava,12239.json,0,2
guava,9470.json,0,4
guava,11603.json,0,2
guava,81.json,0,2
guava,18901.json,3,2
guava,10905.json,6,5
guava,10151.json,0,4
guava,22803.json,0,2
guava,10179.json,1,4
guava,11604.json,0,2
guava,14959.json,2,2
guava,22246.json,1,2
guava,10166.json,0,4
guava,11403.json,0,5
guava,12182.json,0,5
guava,10861.json,1,2
guava,10881.json,0,2
guava,10879.json,0,2
guava,12164.json,0,5
guava,11748.json,0,2
guava,19253.json,1,3
guava,10929.json,1,3
guava,2385.json,0,4
guava,20744.json,0,4
guava,15643.json,0,3
guava,11913.json,0,2
guava,10902.json,6,5
guava,21486.json,1,4
guava,10926.json,1,3
guava,17172.json,2,5
guava,21153.json,0,2
guava,83.json,0,2
guava,17207.json,1,5
guava,11402.json,1,5
guava,22907.json,0,3
guava,20745.json,0,4
guava,21154.json,0,2
pmd,1150.json,6,4
pmd,7973.json,6,3
pmd,8249.json,3,4
pmd,1134.json,3,5
pmd,2689.json,5,2
pmd,961.json,4,2
pmd,5592.json,2,2
pmd,375.json,2,3
pmd,7138.json,3,5
pmd,4678.json,2,3
pmd,7859.json,2,2
pmd,10015.json,1,3
pmd,8755.json,6,3
pmd,3080.json,3,3
pmd,3084.json,6,3
pmd,7577.json,2,4
pmd,2899.json,8,2
pmd,7443.json,3,3
pmd,8270.json,0,3
pmd,7908.json,0,2
pmd,7846.json,4,2
pmd,2946.json,3,3
pmd,7444.json,3,3
pmd,376.json,3,3
pmd,7977.json,7,5
pmd,8281.json,3,4
pmd,6533.json,1,2
pmd,8247.json,3,4
pmd,8256.json,3,4
pmd,348.json,2,5
pmd,412.json,4,3
pmd,6753.json,0,5
pmd,6754.json,0,5
hbase,27505.json,1,2
hbase,7228.json,0,3
hbase,36220.json,3,5
hbase,1192.json,1,3
hbase,21758.json,0,2
hbase,1193.json,0,3
hbase,5737.json,4,5
hbase,12915.json,9,2
hbase,3328.json,0,2
hbase,7525.json,1,3
hbase,36409.json,0,3
hbase,33000.json,0,2
hbase,1189.json,0,3
hbase,10177.json,2,2
hbase,29248.json,9,4
hbase,7389.json,1,3
hbase,29249.json,7,4
hbase,40081.json,0,5
hbase,10426.json,2,5
ant,5795.json,0,4
ant,9401.json,9,2
ant,5699.json,2,2
ant,9617.json,4,2
ant,3632.json,1,2
ant,3769.json,2,3
ant,6773.json,3,4
ant,4122.json,1,3
ant,9649.json,3,2
ant,9260.json,0,3
ant,1832.json,1,4
ant,5703.json,0,2
ant,7851.json,1,5
ant,7516.json,0,4
ant,7518.json,1,4
ant,9378.json,2,2
ant,7517.json,0,4
ant,9748.json,1,3
ant,7859.json,3,5
ant,7886.json,2,4
ant,9400.json,4,2
ant,4816.json,2,3
ant,10020.json,0,4
ant,7946.json,1,2
ant,9989.json,3,5
ant,9990.json,6,5
ant,7515.json,0,4
ant,4307.json,3,3
ant,787.json,1,3
ant,10021.json,0,4
ant,624.json,2,2
ant,5794.json,4,4
ant,1312.json,4,4
ant,6747.json,1,3
ant,4812.json,1,3
ant,3780.json,1,3
ant,1463.json,3,4
ant,5444.json,1,4
ant,1830.json,1,4
lucene-solr,14918.json,0,5
lucene-solr,17639.json,0,4
lucene-solr,28702.json,1,4
lucene-solr,43949.json,2,4
lucene-solr,38367.json,2,2
lucene-solr,11525.json,1,3
lucene-solr,14422.json,0,5
lucene-solr,20864.json,2,5
lucene-solr,48003.json,1,3
lucene-solr,41782.json,4,3
lucene-solr,47123.json,1,2
lucene-solr,3975.json,0,3
lucene-solr,30452.json,0,2
lucene-solr,26824.json,3,2
lucene-solr,46955.json,6,4
lucene-solr,28571.json,2,2
lucene-solr,18604.json,0,2
lucene-solr,19985.json,0,3
lucene-solr,48202.json,1,3
lucene-solr,49563.json,0,3
lucene-solr,13441.json,0,4
lucene-solr,41795.json,2,3
lucene-solr,12462.json,4,4
lucene-solr,18603.json,0,2
lucene-solr,38533.json,0,2
lucene-solr,551.json,0,5
lucene-solr,41790.json,4,3
lucene-solr,448.json,2,2
lucene-solr,14423.json,0,5
lucene-solr,6948.json,1,5
lucene-solr,43882.json,2,4
lucene-solr,13241.json,0,5
lucene-solr,13504.json,0,5
lucene-solr,41785.json,6,3
lucene-solr,642.json,0,2
lucene-solr,17606.json,0,2
lucene-solr,20629.json,2,2
lucene-solr,20313.json,0,3
lucene-solr,49561.json,0,3
lucene-solr,20441.json,4,5
lucene-solr,7643.json,0,4
lucene-solr,17615.json,2,2
lucene-solr,44703.json,1,3
lucene-solr,16626.json,1,2
lucene-solr,50383.json,0,4
lucene-solr,28617.json,0,4
lucene-solr,47982.json,1,3
lucene-solr,21992.json,0,3
lucene-solr,12746.json,5,3
lucene-solr,47755.json,1,5
lucene-solr,47757.json,1,5
lucene-solr,43382.json,1,3
lucene-solr,3974.json,0,3
lucene-solr,6947.json,1,5
lucene-solr,41767.json,3,3
lucene-solr,19986.json,0,3
lucene-solr,40610.json,1,2
lucene-solr,41766.json,2,3
lucene-solr,14919.json,2,5
lucene-solr,38552.json,4,5
lucene-solr,26235.json,2,4
lucene-solr,38532.json,1,2
lucene-solr,20440.json,4,5
lucene-solr,13439.json,0,4
lucene-solr,28701.json,0,4
lucene-solr,15124.json,0,2
lucene-solr,3973.json,0,3
lucene-solr,36489.json,9,2
lucene-solr,47768.json,2,5
lucene-solr,6945.json,1,5
lucene-solr,26825.json,5,2
lucene-solr,41774.json,5,3
lucene-solr,43381.json,1,3
lucene-solr,43884.json,5,4
lucene-solr,43950.json,5,4
lucene-solr,49565.json,0,3
lucene-solr,41224.json,1,3
lucene-solr,14425.json,0,5
lucene-solr,44711.json,1,3
lucene-solr,12461.json,7,4
lucene-solr,12460.json,2,4
lucene-solr,47143.json,0,3
lucene-solr,46441.json,1,4
lucene-solr,5754.json,3,5
lucene-solr,30453.json,2,2
lucene-solr,46442.json,1,4
lucene-solr,44598.json,1,5
lucene-solr,47135.json,0,3
lucene-solr,40617.json,1,2
lucene-solr,14569.json,1,5
lucene-solr,14917.json,1,5
lucene-solr,48196.json,0,3
lucene-solr,50391.json,0,4
lucene-solr,41222.json,4,3
lucene-solr,13509.json,1,5
lucene-solr,646.json,1,2
lucene-solr,13446.json,0,4
lucene-solr,13242.json,0,5
lucene-solr,47759.json,1,5
lucene-solr,20863.json,3,3
lucene-solr,47144.json,0,3
lucene-solr,16019.json,9,4
lucene-solr,6192.json,0,5
lucene-solr,41223.json,4,3
lucene-solr,14424.json,0,5
lucene-solr,6946.json,1,5
lucene-solr,45771.json,0,2
lucene-solr,17008.json,2,4
lucene-solr,50389.json,0,4
jna,2121.json,0,2
jna,146.json,0,2
jna,4142.json,5,5
jna,4215.json,4,2
jna,325.json,0,2
jna,3652.json,3,3
jna,2041.json,0,2
jna,1716.json,1,4
jna,4111.json,1,2
jna,1717.json,1,4
spring-framework,13448.json,0,4
spring-framework,13427.json,1,4
spring-framework,15028.json,2,5
spring-framework,15035.json,2,5
spring-framework,26087.json,1,2
spring-framework,13445.json,0,4
spring-framework,8141.json,1,4
spring-framework,16453.json,0,4
spring-framework,26098.json,1,2
spring-framework,15051.json,2,5
spring-framework,12428.json,0,5
spring-framework,12427.json,0,5
spring-framework,12423.json,0,5
spring-framework,13428.json,1,4
sonarqube,11064.json,0,4
sonarqube,1454.json,3,3
sonarqube,2297.json,7,4
sonarqube,12391.json,1,4
sonarqube,14783.json,4,4
sonarqube,1136.json,0,2
sonarqube,18140.json,3,5
sonarqube,10480.json,5,3
sonarqube,19951.json,6,3
sonarqube,4891.json,2,3
sonarqube,1730.json,1,3
sonarqube,18846.json,0,4
sonarqube,7206.json,1,5
sonarqube,19956.json,2,3
sonarqube,20010.json,0,3
sonarqube,18436.json,1,5
sonarqube,20864.json,0,2
sonarqube,8852.json,4,2
sonarqube,17133.json,1,3
sonarqube,20160.json,1,4
sonarqube,14376.json,6,4
sonarqube,20862.json,0,2
sonarqube,15173.json,1,3
sonarqube,8268.json,4,3
sonarqube,14452.json,17,3
sonarqube,3479.json,1,2
sonarqube,16878.json,2,3
sonarqube,17135.json,1,3
sonarqube,34.json,1,5
sonarqube,15946.json,2,2
sonarqube,5976.json,3,2
sonarqube,2356.json,12,5
sonarqube,1134.json,0,2
sonarqube,19198.json,0,5
sonarqube,6770.json,2,4
sonarqube,3937.json,1,5
sonarqube,6600.json,2,5
sonarqube,7882.json,0,3
sonarqube,3682.json,1,4
sonarqube,20670.json,0,3
sonarqube,19196.json,0,5
sonarqube,20116.json,0,4
sonarqube,1143.json,0,4
sonarqube,2756.json,2,3
sonarqube,3936.json,1,5
sonarqube,5225.json,2,3
sonarqube,3935.json,1,5
sonarqube,17859.json,7,4
sonarqube,18437.json,1,5
sonarqube,8330.json,3,3
sonarqube,19348.json,1,4
sonarqube,4469.json,5,4
sonarqube,16875.json,2,3
sonarqube,20264.json,2,3
sonarqube,20113.json,0,4
sonarqube,19207.json,0,5
